player,nation,wc_year,age_at_wc,fifa_rank_pre,team_stage,matches,minutes,goals_conceded,clean_sheets,saves,save_pct,pen_saves,shootout_wins,golden_glove,club_pre,league_pre,club_pre_tier,mv_pre_eur_m,club_post,moved,move_up,transfer_fee_eur_m,mv_post_eur_m,data_confidence,notes,xg_prevented,sot_faced
Gianluigi Buffon,Italy,2006,28,13,winner,7,690,2,5,30,,0,0,1,Juventus,Serie A,top5,18.0,Juventus,0,0,,18.0,low,Yashin Award; no open-play goal conceded; stayed despite Juve relegation,,
Jens Lehmann,Germany,2006,36,19,sf,6,540,6,2,15,,2,1,0,Arsenal,Premier League,top5,8.0,Arsenal,0,0,,7.0,low,"Host 3rd place; 2 saves in QF shootout vs Argentina; age 36, no move",,
Ricardo,Portugal,2006,30,7,sf,7,660,6,2,12,,3,1,0,Sporting CP,Primeira Liga,other_euro,4.0,Sporting CP,0,0,,4.0,low,First keeper to save 3 in one WC shootout (vs England); 4th place; no move,,
Fabien Barthez,France,2006,35,8,final,7,660,3,4,15,,0,0,0,Marseille,Ligue 1,top5,5.0,retired,0,0,,,low,Runners-up; retired after tournament,,
Iker Casillas,Spain,2010,29,2,winner,7,630,2,5,17,,1,0,1,Real Madrid,La Liga,top5,22.0,Real Madrid,0,0,,22.0,med,Golden Glove; saved Cardozo pen QF; 4 knockout clean sheets; no move,,
Maarten Stekelenburg,Netherlands,2010,27,4,final,7,660,6,3,16,,0,0,0,Ajax,Eredivisie,other_euro,12.0,AS Roma,1,1,6.3,13.0,med,Runners-up; moved Ajax->Roma 2011 (~12mo); step up to Serie A,,
Fernando Muslera,Uruguay,2010,24,16,sf,7,660,6,3,18,,0,1,0,Lazio,Serie A,top5,8.0,Galatasaray,1,0,5.0,9.0,med,4th place; shootout win vs Ghana; moved to Turkey 2011 (lateral),,
Manuel Neuer,Germany,2010,24,6,sf,7,630,5,3,16,,0,0,0,Schalke 04,Bundesliga,top5,18.0,Bayern Munich,1,1,30.0,30.0,med,WC debut at 24; 3rd place; moved Schalke->Bayern 2011 (~12mo),,
Eiji Kawashima,Japan,2010,27,45,r16,4,390,4,1,17,,0,0,0,Kawasaki Frontale,J1 League,non_euro,0.8,Lierse SK,1,1,0.0,1.5,med,"Strongest small-nation case: J-League -> Belgium (Lierse) free, immediately after WC",,
Vincent Enyeama,Nigeria,2010,27,21,group,3,270,5,0,10,,0,0,0,Hapoel Tel Aviv,Israeli PL,domestic_small,1.5,Lille,1,1,0.0,4.0,med,6 saves vs Argentina (4 from Messi); moved to Ligue 1 in 2011 (~12mo),,
Vladimir Stojkovic,Serbia,2010,26,15,group,3,270,3,1,9,,1,0,0,Sporting CP,Primeira Liga,other_euro,4.0,Partizan,1,0,0.0,3.0,low,Saved Podolski pen in 1-0 win vs Germany; moved home to Partizan (down),,
Richard Kingson,Ghana,2010,31,32,qf,5,480,6,1,18,,0,0,0,Wigan Athletic,Premier League,top5,0.5,Blackpool,1,0,0.0,0.3,low,QF run (Suarez handball game); released after WC - opposite of a bump,,
Manuel Neuer,Germany,2014,28,2,winner,7,630,4,4,21,84.0,0,0,1,Bayern Munich,Bundesliga,top5,45.0,Bayern Munich,0,0,,45.0,high,"Golden Glove; sweeper-keeper; already at top club, no move",,
Keylor Navas,Costa Rica,2014,27,28,qf,5,480,2,3,21,92.3,1,1,0,Levante,La Liga,other_euro,3.0,Real Madrid,1,1,10.0,12.0,high,THE case: best save% in tourney; €10m buyout by Real Madrid Aug 2014,,
